,Ciudad,Pais,PM25,PM10,O3,NO2,CO,Fecha
69,Hubei,Mainland China,115.0,50.0,50.0,13.0,7.0,2018-03-11
70,Hubei,Mainland China,107.0,55.0,55.0,18.0,8.0,2018-03-12
71,Hubei,Mainland China,111.0,62.0,62.0,17.0,9.0,2018-03-13
72,Hubei,Mainland China,146.0,51.0,51.0,13.0,9.0,2018-03-14
73,Hubei,Mainland China,126.0,50.0,50.0,11.0,9.0,2018-03-15
74,Hubei,Mainland China,113.0,40.0,40.0,9.0,7.0,2018-03-16
75,Hubei,Mainland China,86.0,44.0,44.0,12.0,8.0,2018-03-17
76,Hubei,Mainland China,97.0,43.0,43.0,11.0,10.0,2018-03-18
77,Hubei,Mainland China,75.0,36.0,36.0,10.0,10.0,2018-03-19
78,Hubei,Mainland China,95.0,43.0,43.0,7.0,8.0,2018-03-20
79,Hubei,Mainland China,102.0,56.0,56.0,16.0,9.0,2018-03-21
80,Hubei,Mainland China,116.0,62.0,62.0,23.0,10.0,2018-03-22
81,Hubei,Mainland China,138.0,63.0,63.0,15.0,9.0,2018-03-23
82,Hubei,Mainland China,132.0,64.0,64.0,15.0,9.0,2018-03-24
83,Hubei,Mainland China,110.0,57.0,57.0,17.0,8.0,2018-03-25
84,Hubei,Mainland China,102.0,56.0,56.0,17.0,9.0,2018-03-26
85,Hubei,Mainland China,126.0,55.0,55.0,17.0,10.0,2018-03-27
86,Hubei,Mainland China,111.0,60.0,60.0,13.0,8.0,2018-03-28
87,Hubei,Mainland China,131.0,55.0,55.0,17.0,7.0,2018-03-29
88,Hubei,Mainland China,112.0,74.0,74.0,22.0,8.0,2018-03-30
89,Hubei,Mainland China,150.0,88.0,88.0,21.0,16.0,2018-03-31
90,Hubei,Mainland China,165.0,94.0,94.0,22.0,12.0,2018-04-01
91,Hubei,Mainland China,167.0,69.0,69.0,17.0,10.0,2018-04-02
92,Hubei,Mainland China,127.0,53.0,53.0,9.0,9.0,2018-04-03
93,Hubei,Mainland China,118.0,89.0,89.0,10.0,8.0,2018-04-04
94,Hubei,Mainland China,119.0,45.0,45.0,8.0,7.0,2018-04-05
95,Hubei,Mainland China,130.0,106.0,106.0,10.0,9.0,2018-04-06
96,Hubei,Mainland China,141.0,76.0,76.0,12.0,5.0,2018-04-07
97,Hubei,Mainland China,109.0,75.0,75.0,17.0,7.0,2018-04-08
98,Hubei,Mainland China,100.0,63.0,63.0,14.0,7.0,2018-04-09
99,Hubei,Mainland China,103.0,65.0,65.0,15.0,8.0,2018-04-10
100,Hubei,Mainland China,119.0,81.0,81.0,24.0,10.0,2018-04-11
101,Hubei,Mainland China,161.0,64.0,64.0,11.0,9.0,2018-04-12
