Ciudad,Pais,Casos,Muertes
Manabi Province,Ecuador,"1,895",375
Los Rios Province,Ecuador,"1,379",180
El Oro,Ecuador,"1,025",164
Santo Domingo de los Tsachilas Province,Ecuador,800,63
Azuay,Ecuador,797,33
Santa Elena Province,Ecuador,733,277
Esmeraldas Province,Ecuador,640,71
Chimborazo Province,Ecuador,368,100
Loja,Ecuador,334,20
Cotopaxi Province,Ecuador,329,46
Canar Province,Ecuador,306,29
Bolivar Province,Ecuador,298,22
Pastaza Province,Ecuador,195,5
Imbabura Province,Ecuador,190,12
Provincia de Napo,Ecuador,166,10
Orellana Province,Ecuador,163,4
Zamora-Chinchipe Province,Ecuador,149,4
Carchi Province,Ecuador,137,9
Sucumbios Province,Ecuador,97,3
Morona-Santiago Province,Ecuador,92,2
Galapagos Islands,Ecuador,76,1
Tungurahua,Ecuador,—,60
Silesian Voivodeship,Poland,"6,982",191
Masovian Voivodeship,Poland,"3,217",246
Lower Silesian Voivodeship,Poland,"2,418",96
Greater Poland Voivodeship,Poland,"2,055",144
odz Voivodeship,Poland,"1,347",59
Lesser Poland Voivodeship,Poland,"1,176",41
Opole Voivodeship,Poland,593,45
Kuyavian-Pomeranian Voivodeship,Poland,593,45
Pomeranian Voivodeship,Poland,533,30
West Pomeranian Voivodeship,Poland,522,19
Lublin Voivodeship,Poland,434,15
Podlaskie Voivodeship,Poland,419,9
Swietokrzyskie,Poland,382,20
Podkarpackie Voivodeship,Poland,378,35
Warmian-Masurian Voivodeship,Poland,175,1
Lubusz Voivodeship,Poland,103,—
-,Pakistan,"54,601","1,133"
Suceava County,Romania,"3,438",—
Bucharest,Romania,"1,758",—
Neamt County,Romania,871,—
Botosani County,Romania,710,—
Arad County,Romania,695,—
Brasov County,Romania,685,—
Mures County,Romania,661,—
Hunedoara County,Romania,626,—
Galati,Romania,571,—
Vrancea County,Romania,570,—
Bihor County,Romania,546,—
Cluj County,Romania,538,—
Timis County,Romania,498,—
Bacau County,Romania,490,—
Sibiu,Romania,483,—
Iasi County,Romania,477,—
Ilfov County,Romania,451,—
Ialomita County,Romania,352,—
Bistrita-Nasaud County,Romania,320,—
Alba County,Romania,318,—
Constanta County,Romania,269,—
Dambovita County,Romania,258,—
Arges County,Romania,235,—
Covasna County,Romania,230,—
Giurgiu County,Romania,211,—
Dolj County,Romania,195,—
Buzau County,Romania,158,—
Vaslui County,Romania,157,—
Tulcea County,Romania,141,—
Teleorman County,Romania,130,—
Gorj County,Romania,117,—
Harghita County,Romania,115,—
Caras-Severin County,Romania,112,—
Mehedinti County,Romania,105,—
Prahova,Romania,96,—
Maramures County,Romania,94,—
Salaj,Romania,85,—
Calarasi County,Romania,80,—
Olt County,Romania,75,—
Satu Mare County,Romania,61,—
-,Russia,"344,481","3,541"
Mexico City,Mexico,"12,456","1,197"
State of Mexico,Mexico,"7,570",453
Baja California,Mexico,"3,040",518
Tabasco,Mexico,"2,177",275
Sinaloa,Mexico,"1,814",261
Veracruz,Mexico,"1,700",222
Puebla,Mexico,"1,338",180
Quintana Roo,Mexico,"1,257",234
Yucatan,Mexico,"1,025",68
Morelos,Mexico,"1,021",142
Tamaulipas,Mexico,890,55
Chihuahua,Mexico,874,183
Nuevo Leon,Mexico,776,49
Michoacan,Mexico,768,81
Jalisco,Mexico,767,69
Sonora,Mexico,757,34
Hidalgo,Mexico,748,141
Guerrero,Mexico,743,101
Guanajuato,Mexico,658,63
Coahuila,Mexico,644,54
Baja California Sur,Mexico,617,26
Chiapas,Mexico,533,39
Tlaxcala,Mexico,509,86
Aguascalientes,Mexico,443,18
San Luis Potosi,Mexico,399,19
Oaxaca,Mexico,369,63
Queretaro,Mexico,361,31
Campeche,Mexico,311,35
Nayarit,Mexico,287,26
Zacatecas,Mexico,181,22
Durango,Mexico,150,15
Colima,Mexico,82,7
Daegu,South Korea,"6,873",183
Gyeongsangbuk-do,South Korea,"1,376",54
Seoul,South Korea,768,4
Gyeonggi-do,South Korea,760,18
Chungcheong-do,South Korea,145,0
Busan,South Korea,144,3
Incheon,South Korea,143,0
Gyeongsangnam-do,South Korea,123,0
Chungcheongbuk-do,South Korea,59,0
Gangwon-do,South Korea,56,2
Ulsan,South Korea,50,1
Sejong City,South Korea,47,0
Daejeon,South Korea,45,1
Gwangju,South Korea,30,0
Jeollabuk-do,South Korea,21,0
Jeollanam-do,South Korea,18,0
Jeju-do,South Korea,14,0
Community of Madrid,Spain,"67,049","8,931"
Catalonia,Spain,"55,888","6,021"
Castile and Leon,Spain,"18,627","1,960"
Castile-La Mancha,Spain,"16,789","2,919"
Basque Country,Spain,"13,421","1,483"
Andalusia,Spain,"12,547","1,375"
Valencian Community,Spain,"10,987","1,383"
Galicia,Spain,"9,077",608
Aragon,Spain,"5,588",848
Navarre,Spain,"5,195",506
La Rioja,Spain,"4,033",354
Extremadura,Spain,"3,042",505
Asturias,Spain,"2,374",307
Canary Islands,Spain,"2,307",155
Cantabria,Spain,"2,279",209
Balearic Islands,Spain,"2,024",221
Region of Murcia,Spain,"1,570",149
Melilla,Spain,121,2
Ceuta,Spain,119,4
-,Israel,"16,712",279
-,Turkey,"156,827","4,340"
Makkah Province,Saudi Arabia,"28,654",290
Riyadh Province,Saudi Arabia,"16,854",24
Eastern Province,Saudi Arabia,"13,652",22
Al Madinah Province,Saudi Arabia,"9,564",44
Jazan,Saudi Arabia,941,1
Tabuk Province,Saudi Arabia,777,1
Al Qassim,Saudi Arabia,761,4
Aseer Province,Saudi Arabia,571,3
Northern Borders Province,Saudi Arabia,212,1
Hail Province,Saudi Arabia,210,—
Al Bahah Province,Saudi Arabia,148,—
Najran,Saudi Arabia,132,—
Al Jowf,Saudi Arabia,84,—
State of Sao Paulo,Brazil,"76,871","5,773"
